CG	cancer_type_specific	907282	908145	946369	1240150	907279	905984	906871	907271	908144	908452	909750	908450	946373	906868	924188	908449
TP53	TRUE	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0
NF1	TRUE	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0
SMARCA4	TRUE	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
PIK3R1	TRUE	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
PTEN	TRUE	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0
RB1	TRUE	0	0	1	0	0	1	1	0	1	1	1	1	0	0	0	0
MLL2	TRUE	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
EP300	FALSE	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
SETD2	TRUE	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
EGFR	TRUE	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0
MLL	TRUE	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
NF2	TRUE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
