CG	cancer_type_specific	1290730	687452	753552	909749	910926	753566	909704	907066	753584	724812	687459	724838	906797	909780	906798	907065	907312	687455
TP53	TRUE	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0
NRAS	TRUE	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0
PTEN	TRUE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
RB1	TRUE	0	1	0	0	0	1	0	1	1	0	0	0	1	0	1	0	0	0
SMARCA4	FALSE	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
CREBBP	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ARID1A	TRUE	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	1	1	0
MLL2	TRUE	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0
KDM6A	TRUE	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0
MLL3	TRUE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
EP300	TRUE	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0
AHNAK	TRUE	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
CDKN1A	TRUE	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0
FAT1	TRUE	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ERBB3	TRUE	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
STAG2	TRUE	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ELF3	TRUE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
NCOR2	TRUE	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TSC1	TRUE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CAD	TRUE	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
ANK3	TRUE	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BAP1	TRUE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CDKN2A	TRUE	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
CEP290	TRUE	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
HRAS	TRUE	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
IREB2	TRUE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
MAP4K3	TRUE	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0
RASA1	TRUE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
SOS2	TRUE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CDKN1B	TRUE	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
TNPO1	TRUE	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
NCOR1	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
NF2	FALSE	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0
ASXL2	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
