CG	cancer_type_specific	753554	1298223	687815	1240142	1240183	908443	909728	753556	753569	1298538	687787	724879	1240143	1298226	905941
TP53	TRUE	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
NF1	TRUE	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
KRAS	TRUE	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
RB1	TRUE	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
SMARCA4	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
CREBBP	FALSE	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ARID1A	TRUE	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
MLL2	TRUE	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0
EP300	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
FAT1	FALSE	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
NFE2L2	TRUE	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
CDKN2A	TRUE	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
HRAS	TRUE	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
CTNNB1	TRUE	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
PIK3CA	TRUE	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0
ARID2	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
PBRM1	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
NF2	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ZNRF3	FALSE	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
