CG	cancer_type_specific	906765	1297447	907281	909249	753612	1327775	907791	905964	753615	753563	1327766	1330950	724825	924239	1295741	1659818
TP53	TRUE	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0
NRAS	TRUE	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	0
KRAS	TRUE	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	1
RB1	FALSE	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
KDM6A	FALSE	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
CEP290	TRUE	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
BRAF	TRUE	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
PIK3CA	TRUE	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
PIK3R1	FALSE	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
