CG	cancer_type_specific	907057	1298146	1240157	1240159	1240160	1240216	909739	1240158	909736	909737	907071	909738	1240147	909719	1298151	1240217
TP53	TRUE	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0
RB1	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
SMARCA4	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
CREBBP	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
PTEN	TRUE	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ARID1A	TRUE	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
NOTCH1	FALSE	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
CTNNB1	TRUE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
FAM123B	FALSE	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ACVR2A	TRUE	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
PHLPP1	FALSE	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
