	753616	910567	910941	906820	906872	906875	907170	753618	924189	907314	946363	949170	908118	908135	1240181	949179	949171	949172	949177	949178	949175	949176	949173	908440	949174	908447	753620	724828	688086	688087	717431	910780
chr19:21265164-21265433	0	1	1	0	0	0	0	0	0	1	0	0	1	0	1	1	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0
chr22:24384134-24384405	0	0	0	1	1	1	0	0	1	0	1	1	1	0	1	1	0	0	1	0	1	0	0	1	0	1	0	1	1	0	0	1
chr17:44656490-44657494	1	1	1	1	1	1	1	0	0	0	0	1	1	0	1	0	1	0	1	1	0	0	0	1	1	1	0	1	1	0	1	1
chr8:67344497-67344989	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	0	0	1	1	1	0	1	1	1	1	1	0	1
chr1:110230238-110230614	1	1	0	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
chr14:24803678-24804353	0	0	0	1	1	1	1	0	1	0	0	0	1	0	0	1	1	1	0	0	1	1	0	1	1	0	1	0	0	1	0	1
chr3:99594969-99595215	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
chr6:291948-292839	1	1	0	1	1	0	1	0	1	1	1	0	0	1	0	1	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0
chr8:144659745-144660635	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1
chr19:53662189-53662500	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
chr19:58458686-58459219	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
chr1:181451311-181452049	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr3:139258152-139258731	0	1	0	0	0	1	1	0	1	1	0	0	0	0	0	1	0	1	1	0	1	0	1	0	1	1	0	0	0	0	0	1
chr8:11058624-11058844	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0
chr15:30685087-30685891	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1
chr18:77905297-77905566	0	1	1	1	0	0	1	0	0	1	1	0	1	1	0	1	0	1	1	0	0	0	1	1	1	1	1	1	1	0	1	1
chr16:56659107-56659660	1	0	1	1	1	1	1	0	1	0	1	1	1	1	0	1	1	0	0	0	1	1	0	1	1	0	0	1	0	1	1	1
chr20:42543097-42545137	1	1	1	0	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1
chr21:47602431-47602740	0	1	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	1	1	1	1	1	0	1	1	1	0	0	1	1	0
