	910704	906801	946359	949093	905951	906826	924106	910927	910852	946382	906812	906844	906851	1290798	906862	749710	749711	749712	907045	1290905	1303900	907046	749713	749714	749709	1290906	749715	749716	749717	907048	1290922	905957	905946	925338	905960	1330941	908121	924240	1240172	908122	908123	910948	908151	909256	905945	910910	909778	1303911	909907
chr1:42127380-42128632	1	1	1	1	1	0	1	1	0	1	1	0	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	0	0	1	0	1	1	1	1	1	1	1	1
chr12:3862068-3862606	1	1	1	1	1	1	1	0	0	1	1	0	0	0	1	1	0	1	0	1	1	0	1	1	1	0	1	1	0	0	1	0	0	0	0	1	0	0	1	1	0	1	1	1	1	0	1	1	1
chr8:22422534-22423702	0	1	1	1	0	0	1	0	0	1	0	0	1	1	1	0	1	1	0	1	1	0	1	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	1	1	1	1	0	1	1	0	1
chr6:6007387-6007797	0	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1
chr5:180017099-180019062	1	1	1	1	0	1	1	0	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1
chr11:119293320-119293943	0	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1
chr1:110230238-110230614	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1
chr1:1476093-1476669	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1
chr11:65408344-65408631	0	1	1	1	1	1	1	0	0	1	1	1	0	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	0	1	1	0	0	1	1	1	0	0	1	1	1	1	1
chr1:171810467-171811325	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	0	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1
chr14:24803678-24804353	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1
chr16:68676450-68676843	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1
chr17:42092143-42092432	1	0	0	1	0	0	0	1	0	1	0	0	1	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	1	0	0	0	1
chr19:21265164-21265433	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr20:30192854-30194025	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	1
chr22:24384134-24384405	1	1	0	0	0	1	0	0	0	0	1	0	1	1	1	1	1	1	0	1	0	1	1	1	0	1	0	0	0	1	0	0	0	1	1	1	0	0	0	0	1	1	0	1	1	0	0	0	1
chr3:50604905-50605359	1	1	1	1	1	1	1	0	0	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	0	1	1	1	1
chr3:99594969-99595215	1	1	0	1	1	0	1	0	1	1	1	0	0	0	0	1	0	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	0	1	1	1
chr6:291948-292839	0	0	1	1	1	0	1	1	1	1	1	1	1	0	0	1	1	1	0	0	1	1	0	1	1	0	1	1	1	1	1	0	1	0	0	1	1	1	1	0	1	1	0	0	0	1	1	1	1
chr8:144659745-144660635	0	1	0	1	0	0	1	0	1	1	0	0	1	1	1	0	1	1	1	0	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	0	0	1	0	1	1	0	1	1	1	1	0	1	1
