	906825	949090	1479987	911905	1240129	1479988	905968	1479995	1480358	1480359	946360	910548	909257	1480361	1480362	1480360	1240197	1480364	1480367	905933	905990	905969	905991	1240198	1480371	1240199	1240200	1298365	1480372	905959	909753	1299070	1240222	1480374
chr19:21265164-21265433	1	1	0	0	0	0	0	0	1	1	0	1	1	0	1	1	1	0	1	1	1	0	0	1	0	0	0	1	1	1	0	0	0	0
chr22:24384134-24384405	0	0	1	1	1	0	0	1	1	1	1	1	0	1	1	0	0	0	0	0	1	0	0	1	1	1	1	0	1	0	0	0	1	0
chr17:44656490-44657494	1	1	0	1	0	1	0	1	1	0	1	1	1	1	1	1	0	0	1	1	1	1	1	0	0	1	0	1	1	0	1	1	0	1
chr8:67344497-67344989	0	0	0	0	0	0	1	0	0	0	1	0	1	0	1	1	1	1	1	1	1	1	0	1	1	0	1	0	0	0	1	1	1	0
chr1:110230238-110230614	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1
chr14:24803678-24804353	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
chr3:99594969-99595215	1	1	1	0	0	0	1	0	0	1	0	1	1	0	0	1	0	0	0	0	0	0	0	1	1	0	1	1	1	1	0	0	0	0
chr6:291948-292839	1	1	1	0	1	0	1	1	1	1	0	0	1	0	1	0	1	0	1	0	0	0	1	1	1	1	1	1	0	1	1	1	1	1
chr8:144659745-144660635	0	0	1	1	1	1	1	1	1	0	0	1	0	1	1	0	0	1	0	1	1	0	1	1	1	0	0	1	1	0	0	1	1	1
chr19:53662189-53662500	1	1	1	0	0	1	0	1	0	0	1	0	0	0	0	0	0	1	0	1	0	1	0	1	0	1	1	1	0	0	1	1	0	0
chr19:58458686-58459219	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0
chr1:181451311-181452049	0	0	1	0	0	1	0	0	1	0	0	1	1	0	0	1	1	0	1	0	0	1	1	0	0	1	1	1	1	0	1	0	0	0
chr3:139258152-139258731	0	0	0	0	1	1	1	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	1	1	0	0	1	1	0	1	1	0	0	0
chr8:11058624-11058844	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0	1	0	1	0
chr15:30685087-30685891	1	1	1	0	1	1	1	1	1	1	0	1	1	1	0	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0
chr18:77905297-77905566	0	0	1	0	1	1	1	0	1	0	1	1	1	0	0	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	0	1
chr16:56659107-56659660	0	1	1	1	1	1	1	0	0	1	0	1	1	1	0	0	1	1	1	1	1	1	0	1	1	0	1	0	0	1	1	1	1	0
chr20:42543097-42545137	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
chr21:47602431-47602740	0	0	1	0	0	1	0	0	0	1	0	0	1	0	1	1	1	0	0	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0
