	910702	906693	753624	910915	906821	1290797	1298136	724869	1298141	907285	907286	1298216	753572	724870	753595	1298475	925346	1298476	925347	925348	1298526	1240201	1240208	1298533	910546	1240218	1240219	910907	909904
chr19:21265164-21265433	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	0	1	0	1	1	1	0	0	1	0	1	0	0
chr22:24384134-24384405	1	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1
chr17:44656490-44657494	1	0	1	1	1	0	1	0	0	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	0	0
chr8:67344497-67344989	1	1	0	1	0	0	1	0	0	0	0	0	1	1	0	1	0	1	1	1	1	0	1	1	0	0	0	0	0
chr1:110230238-110230614	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	0	1	1	0	1	1	1	1
chr14:24803678-24804353	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
chr3:99594969-99595215	0	0	0	1	1	0	1	1	0	1	0	1	0	1	0	0	0	1	0	1	1	1	0	0	0	0	1	0	0
chr6:291948-292839	1	1	1	1	1	1	0	0	1	1	1	1	1	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1
chr8:144659745-144660635	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	1	1	1	1	0	0	0	1
chr19:53662189-53662500	1	0	1	1	1	0	1	1	0	0	1	0	1	1	1	1	0	1	0	1	1	0	0	1	0	0	1	0	1
chr19:58458686-58459219	1	1	1	1	1	1	1	1	0	1	1	0	1	1	0	0	0	1	1	1	1	0	0	1	0	1	1	1	0
chr1:181451311-181452049	1	0	1	1	0	0	1	1	1	1	1	0	0	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	0
chr3:139258152-139258731	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0
chr8:11058624-11058844	1	0	0	1	0	1	1	0	1	0	0	0	0	1	0	0	0	0	1	0	1	0	0	1	0	1	0	1	1
chr15:30685087-30685891	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
chr18:77905297-77905566	0	1	0	0	0	0	0	1	1	1	1	0	1	0	0	0	0	0	1	1	1	0	1	1	1	1	1	0	1
chr16:56659107-56659660	0	1	0	0	0	1	1	1	0	1	0	0	0	0	1	1	0	1	1	1	1	0	0	1	0	0	1	1	0
chr20:42543097-42545137	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
chr21:47602431-47602740	1	0	0	1	0	1	1	1	0	0	0	1	0	1	1	1	1	1	0	1	1	0	0	1	0	0	0	0	1
